word,len,pattern
descriptor,10,ABCDEFGHIE
descry,6,ABCDEF
desecrate,9,ABCBDEFGB
desegregate,11,ABCBDEBDFGB
desert,6,ABCBDE
desertion,9,ABCBDEFGH
deserve,7,ABCBDEB
deserved,8,ABCBDEBA
deserving,9,ABCBDEFGH
desiderata,10,ABCDABEFGF
desideratum,11,ABCDABEFGHI
design,6,ABCDEF
designate,9,ABCDEFGHB
designator,10,ABCDEFGHIJ
designed,8,ABCDEFBA
designer,8,ABCDEFBG
designing,9,ABCDEFDFE
designs,7,ABCDEFC
desirability,12,ABCDEFGDHDIJ
desirable,9,ABCDEFGHB
desirably,9,ABCDEFGHI
desire,6,ABCDEB
desired,7,ABCDEBA
desirous,8,ABCDEFGC
desist,6,ABCDCE
desk,4,ABCD
desktop,7,ABCDEFG
Desmond,7,ABCDEFA
desolate,8,ABCDEFGB
desolating,10,ABCDEFGHIJ
desorption,10,ABCDEFGHDI
despair,7,ABCDEFG
despairing,10,ABCDEFGFHI
despatch,8,ABCDEFGH
desperado,9,ABCDBEFAG
desperadoes,11,ABCDBEFAGBC
desperate,9,ABCDBEFGB
despise,7,ABCDECB
despite,7,ABCDEFB
despoil,7,ABCDEFG
despond,7,ABCDEFA
despondency,11,ABCDEFABFGH
despondent,10,ABCDEFABFG
despot,6,ABCDEF
despotic,8,ABCDEFGH
despotism,9,ABCDEFGCH
dessert,7,ABCCBDE
dessicate,9,ABCCDEFGB
destabilize,11,ABCDEFGHGIB
destigmatization,16,ABCDEFGHDEIHDEJK
destinate,9,ABCDEFGDB
destination,11,ABCDEFGDEHF
destine,7,ABCDEFB
destiny,7,ABCDEFG
destitute,9,ABCDEDFDB
destroy,7,ABCDEFG
destroyer,9,ABCDEFGBE
destruct,8,ABCDEFGD
destruction,11,ABCDEFGDHIJ
destructive,11,ABCDEFGDHIB
destructor,10,ABCDEFGDHE
desuetude,9,ABCDBEDAB
desultory,9,ABCDEFGHI
desynchronize,13,ABCDEFGHIEJKB
detach,6,ABCDEF
detachable,10,ABCDEFDGHB
detached,8,ABCDEFBA
detachment,10,ABCDEFGBHC
detail,6,ABCDEF
detailed,8,ABCDEFBA
detain,6,ABCDEF
detect,6,ABCBDC
detectable,10,ABCBDCEFGB
detectably,10,ABCBDCEFGH
detected,8,ABCBDCBA
detection,9,ABCBDCEFG
detective,9,ABCBDCEFB
detector,8,ABCBDCEF
detente,7,ABCBDCB
detention,9,ABCBDCEFD
deter,5,ABCBD
detergency,10,ABCBDEBFGH
detergent,9,ABCBDEBFC
deteriorate,11,ABCBDEFDGCB
determinability,15,ABCBDEFGHIFJFCK
determinable,12,ABCBDEFGHIJB
determinacy,11,ABCBDEFGHIJ
determinant,11,ABCBDEFGHGC
determinate,11,ABCBDEFGHCB
determination,13,ABCBDEFGHCFIG
determinative,13,ABCBDEFGHCFIB
determine,9,ABCBDEFGB
determined,10,ABCBDEFGBA
determinism,11,ABCBDEFGFHE
deterministic,13,ABCBDEFGFHCFI
deterministically,17,ABCBDEFGFHCFIJKKL
deterred,8,ABCBDDBA
deterrence,10,ABCBDDBEFB
deterrent,9,ABCBDDBEC
deterring,9,ABCBDDEFG
detest,6,ABCBDC
detestable,10,ABCBDCEFGB
detestation,11,ABCBDCECFGH
detonable,9,ABCDEFGHB
detonate,8,ABCDEFCB
detour,6,ABCDEF
detract,7,ABCDEFC
detractive,10,ABCDEFCGHB
detractor,9,ABCDEFCGD
detribalize,11,ABCDEFGHEIB
detriment,9,ABCDEFBGC
detrimental,11,ABCDEFBGCHI
detune,6,ABCDEB
deuce,5,ABCDB
deuced,6,ABCDBA
deus,4,ABCD
deuterium,9,ABCDBEFCG
Deutsch,7,ABCDEFG
devaluation,11,ABCDEFDGHIJ
devalue,7,ABCDEFB
devastate,9,ABCDEFDFB
devastating,11,ABCDEFDFGHI
develop,7,ABCBDEF
developed,9,ABCBDEFBA
developer,9,ABCBDEFBG
development,11,ABCBDEFGBHI
developmental,13,ABCBDEFGBHIJD
deviance,8,ABCDEFGB
deviant,7,ABCDEFG
deviate,7,ABCDEFB
deviating,9,ABCDEFDGH
device,6,ABCDEB
devil,5,ABCDE
devilish,8,ABCDEDFG
devious,7,ABCDEFG
devise,6,ABCDEB
devoice,7,ABCDEFB
devoid,6,ABCDEA
devolve,7,ABCDECB
Devon,5,ABCDE
Devonshire,10,ABCDEFGHIB
devote,6,ABCDEB
devoted,7,ABCDEBA
devotee,7,ABCDEBB
devotional,10,ABCDEFDGHI
devour,6,ABCDEF
devout,6,ABCDEF
dew,3,ABC
dewar,5,ABCDE
dewdrop,7,ABCADEF
Dewey,5,ABCBD
Dewitt,6,ABCDEE
dewy,4,ABCD
Dexedrine,9,ABCBADEFB
dexter,6,ABCDBE
dexterity,9,ABCDBEFDG
dextrous,8,ABCDEFGH
diabase,7,ABCDCEF
diabetes,8,ABCDEFEG
diabetic,8,ABCDEFBG
diabolic,8,ABCDEFBG
diabolical,10,ABCDEFBGCF
diachronic,10,ABCDEFGHBD
diacritical,11,ABCDEBFBDCG
diadem,6,ABCADE
diagnometer,11,ABCDEFGHIHJ
diagnosable,11,ABCDEFGCHIJ
diagnose,8,ABCDEFGH
diagnosis,9,ABCDEFGBG
diagnostic,10,ABCDEFGHBI
diagnostician,13,ABCDEFGHBIBCE
diagonal,8,ABCDEFCG
diagonalizable,14,ABCDEFCGBHCIGJ
diagram,7,ABCDECF
diagrammable,12,ABCDECFFCGHI
diagrammatic,12,ABCDECFFCGBH
diagrammaticality,17,ABCDECFFCGBHCIBGJ
diagrammatically,16,ABCDECFFCGBHCIIJ
diagrammed,10,ABCDECFFGA
diagrammer,10,ABCDECFFGE
diagramming,11,ABCDECFFBGD
dial,4,ABCD
dialect,7,ABCDEFG
dialectal,9,ABCDEFGCD
dialectic,9,ABCDEFGBF
dialectical,11,ABCDEFGBFCD
dialed,6,ABCDEA
dialer,6,ABCDEF
dialing,7,ABCDBEF
dialled,7,ABCDDEA
dialler,7,ABCDDEF
dialling,8,ABCDDBEF
dialog,6,ABCDEF
dialogue,8,ABCDEFGH
dials,5,ABCDE
dialysis,8,ABCDEFBF
dialyzed,8,ABCDEFGA
diamagnetic,11,ABCDCEFGHBI
diameter,8,ABCDEFEG
diametric,9,ABCDEFGBH
diametrically,13,ABCDEFGBHCIIJ
diamond,7,ABCDEFA
Diana,5,ABCDC
Diane,5,ABCDE
Dianne,6,ABCDDE
diaper,6,ABCDEF
diaphanous,10,ABCDECFGHI
diaphragm,9,ABCDEFCGH
diarrhea,8,ABCDDEFC
diarrheal,9,ABCDDEFCG
diary,5,ABCDE
diathermy,9,ABCDEFGHI
diathesis,9,ABCDEFGBG
diatom,6,ABCDEF
diatomic,8,ABCDEFBG
diatonic,8,ABCDEFBG
diatribe,8,ABCDEBFG
dice,4,ABCD
dices,5,ABCDE
dichloride,10,ABCDEFGBAH
dichotomization,15,ABCDEFEGBHIFBEJ
dichotomize,11,ABCDEFEGBHI
dichotomous,11,ABCDEFEGEHI
dichotomy,9,ABCDEFEGH
dick,4,ABCD
dickens,7,ABCDEFG
dicker,6,ABCDEF
dickey,6,ABCDEF
Dickinson,9,ABCDBEFGE
Dickson,7,ABCDEFG
dicky,5,ABCDE
dicotyledon,11,ABCDEFGHADI
dictate,7,ABCDEDF
dictator,8,ABCDEDFG
dictatorial,11,ABCDEDFGBEH
dictatorship,12,ABCDEDFGHIBJ
diction,7,ABCDBEF
dictionary,10,ABCDBEFGHI
dictum,6,ABCDEF
did,3,ABA
didactic,8,ABACDEBD
diddle,6,ABAACD
didn't,6,ABACDE
die,3,ABC
Diego,5,ABCDE
diehard,7,ABCDEFA
dielectric,10,ABCDCEFGBE
diem,4,ABCD
dies,4,ABCD
diesel,6,ABCDCE
diet,4,ABCD
dietary,7,ABCDEFG
dietetic,8,ABCDCDBE
diethylaminoethyl,17,ABCDEFGHIBJKCDEFG
diethylstilbestrol,18,ABCDEFGHDBGICHDJKG
dietician,9,ABCDBEBFG
dietitian,9,ABCDBDBEF
Dietrich,8,ABCDEBFG
differ,6,ABCCDE
difference,10,ABCCDEDFGD
different,9,ABCCDEDFG
differentiability,17,ABCCDEDFGBHIBJBGK
differentiable,14,ABCCDEDFGBHIJD
differential,12,ABCCDEDFGBHI
differentiate,13,ABCCDEDFGBHGD
differentiated,14,ABCCDEDFGBHGDA
differentiator,14,ABCCDEDFGBHGIE
differentiators,15,ABCCDEDFGBHGIEJ
differently,11,ABCCDEDFGHI
difficile,9,ABCCBDBEF
difficult,9,ABCCBDEFG
difficulty,10,ABCCBDEFGH
diffidence,10,ABCCBADEFD
diffident,9,ABCCBADEF
diffract,8,ABCCDEFG
diffraction,11,ABCCDEFGBHI
diffractometer,14,ABCCDEFGHIJGJD
diffuse,7,ABCCDEF
diffusible,10,ABCCDEBFGH
diffusive,9,ABCCDEBFG
dig,3,ABC
digest,6,ABCDEF
digested,8,ABCDEFDA
digestible,10,ABCDEFBGHD
digestion,9,ABCDEFBGH
digestive,9,ABCDEFBGD
digger,6,ABCCDE
digging,7,ABCCBDC
digit,5,ABCBD
digital,7,ABCBDEF
digitalis,9,ABCBDEFBG
digitalization,14,ABCBDEFBGEDBHI
digitization,12,ABCBDBEFDBGH
digitize,8,ABCBDBEF
digitizer,9,ABCBDBEFG
dignify,7,ABCDBEF
dignitary,9,ABCDBEFGH
dignity,7,ABCDBEF
digram,6,ABCDEF
digress,7,ABCDEFF
digression,10,ABCDEFFBGH
digressive,10,ABCDEFFBGE
dihedral,8,ABCDAEFG
Dijkstra,8,ABCDEFGH
Dijon,5,ABCDE
dike,4,ABCD
dilapidate,10,ABCDEBADFG
dilatation,10,ABCDEDEBFG
dilate,6,ABCDEF
dilated,7,ABCDEFA
dilator,7,ABCDEFG
dilatory,8,ABCDEFGH
dilemma,7,ABCDEEF
dilettante,10,ABCDEEFGED
diligence,9,ABCBDEFGE
diligent,8,ABCBDEFG
dilithium,9,ABCBDEBFG
dill,4,ABCC
dillinger,9,ABCCBDEFG
Dillon,6,ABCCDE
dilogarithm,11,ABCDEFGBHIJ
dilute,6,ABCDEF
diluted,7,ABCDEFA
dim,3,ABC
DiMaggio,8,ABCDEEBF
dime,4,ABCD
dimension,9,ABCDEFBGE
dimensional,11,ABCDEFBGEHI
dimensionality,14,ABCDEFBGEHIBJK
dimethyl,8,ABCDEFGH
dimethylglyoxime,16,ABCDEFGHIHGJKBCD
diminish,8,ABCBDBEF
diminished,10,ABCBDBEFGA
diminution,10,ABCBDEFBGD
diminutive,10,ABCBDEFBGH
dimmed,6,ABCCDA
dimmer,6,ABCCDE
dimmest,7,ABCCDEF
dimming,7,ABCCBDE
dimple,6,ABCDEF
din,3,ABC
Dinah,5,ABCDE
dine,4,ABCD
ding,4,ABCD
dinghy,6,ABCDEF
dingo,5,ABCDE
dingy,5,ABCDE
dinner,6,ABCCDE
dinnertime,10,ABCCDEFBGD
dinnerware,10,ABCCDEFGED
dinosaur,8,ABCDEFGH
dint,4,ABCD
diocesan,8,ABCDEFGH
diocese,7,ABCDEFE
diode,5,ABCAD
Diogenes,8,ABCDEFEG
Dion,4,ABCD
Dionysian,9,ABCDEFBGD
Dionysus,8,ABCDEFGF
Diophantine,11,ABCDEFGHBGI
diopter,7,ABCDEFG
diorama,7,ABCDEFE
dioxalate,9,ABCDEFEGH
dioxide,7,ABCDBAE
dip,3,ABC
diphtheria,10,ABCDEDFGBH
diphthong,9,ABCDEDFGH
diploma,7,ABCDEFG
diplomacy,9,ABCDEFGHI
diplomat,8,ABCDEFGH
diplomatic,10,ABCDEFGHBI
dipodic,7,ABCDABE
dipody,6,ABCDAE
dipole,6,ABCDEF
dipped,6,ABCCDA
dipper,6,ABCCDE
dipping,7,ABCCBDE
Dirac,5,ABCDE
dire,4,ABCD
direct,6,ABCDEF
directed,8,ABCDEFDA
direction,9,ABCDEFBGH
directional,11,ABCDEFBGHIJ
directionality,14,ABCDEFBGHIJBFK
directions,10,ABCDEFBGHI
directive,9,ABCDEFBGD
directivity,11,ABCDEFBGBFH
director,8,ABCDEFGC
directorate,11,ABCDEFGCHFD
directorship,12,ABCDEFGCHIBJ
directory,9,ABCDEFGCH
directrices,11,ABCDEFCBEDG
directrix,9,ABCDEFCBG
directs,7,ABCDEFG
direful,7,ABCDEFG
dirge,5,ABCDE
dirt,4,ABCD
dirtily,7,ABCDBEF
dirty,5,ABCDE
disability,10,ABCDEBFBGH
disable,7,ABCDEFG
disablement,11,ABCDEFGHGIJ
disabuse,8,ABCDEFCG
disadvantage,12,ABCDAEDFGDHI
disadvantaged,13,ABCDAEDFGDHIA
disaffected,11,ABCDEEFGHFA
disaffection,12,ABCDEEFGHBIJ
disaffiliate,12,ABCDEEBFBDGH
disaggregate,12,ABCDEEFGEDHG
disagree,8,ABCDEFGG
disagreeable,12,ABCDEFGGDHIG
disagreeing,11,ABCDEFGGBHE
disagreement,12,ABCDEFGGHGIJ
disallow,8,ABCDEEFG
disambiguate,12,ABCDEFBGHDIJ
disappear,9,ABCDEEFDG
disappearance,13,ABCDEEFDGDHIF
disappoint,10,ABCDEEFBGH
disappointed,12,ABCDEEFBGHIA
disappointing,13,ABCDEEFBGHBGI
disappointment,14,ABCDEEFBGHIJGH
disapprobation,14,ABCDEEFGHDIBGJ
disapproval,11,ABCDEEFGHDI
disapprove,10,ABCDEEFGHI
disapproving,12,ABCDEEFGHBIJ
disarm,6,ABCDEF
disarmament,11,ABCDEFDFGHI
disarming,9,ABCDEFBGH
disarranged,11,ABCDEEDFGHA
disarray,8,ABCDEEDF
disarticulated,14,ABCDEFBGHIDFJA
disassemble,11,ABCDCCEFGHE
disassembler,12,ABCDCCEFGHEI
disassembly,11,ABCDCCEFGHI
disaster,8,ABCDCEFG
disastrous,10,ABCDCEFGHC
disavow,7,ABCDEFG
disavowal,9,ABCDEFGDH
disband,7,ABCDEFA
disbar,6,ABCDEF
disbelief,9,ABCDEFBEG
disbelieve,10,ABCDEFBEGE
disburse,8,ABCDEFCG
disbursement,12,ABCDEFCGHGIJ
disc,4,ABCD
discard,7,ABCDEFA
discern,7,ABCDEFG
discernibility,14,ABCDEFGBHBIBJK
discernible,11,ABCDEFGBHIE
discernibly,11,ABCDEFGBHIJ
discerning,10,ABCDEFGBGH
discernment,11,ABCDEFGHEGI
discharge,9,ABCDEFGHI
disciple,8,ABCDBEFG
discipleship,12,ABCDBEFGCHBE
disciplinary,12,ABCDBEFBGHIJ
discipline,10,ABCDBEFBGH
disciplined,11,ABCDBEFBGHA
disclaim,8,ABCDEFBG
disclose,8,ABCDEFCG
disclosed,9,ABCDEFCGA
disclosure,10,ABCDEFCGHI
discolored,10,ABCDEFEGHA
discoloreds,11,ABCDEFEGHAC
discolors,9,ABCDEFEGC
discomfit,9,ABCDEFGBH
discomfort,10,ABCDEFGEHI
discomforting,13,ABCDEFGEHIBJK
disconcert,10,ABCDEFDGHI
disconcerting,13,ABCDEFDGHIBFJ
disconnect,10,ABCDEFFGDH
disconnected,12,ABCDEFFGDHGA
disconnection,13,ABCDEFFGDHBEF
discontent,10,ABCDEFGHFG
discontented,12,ABCDEFGHFGHA
discontinuance,14,ABCDEFGBFHIFDJ
discontinuation,15,ABCDEFGBFHIGBEF
discontinue,11,ABCDEFGBFHI
discontinuity,13,ABCDEFGBFHBGI
discontinuous,13,ABCDEFGBFHEHC
discord,7,ABCDEFA
discordant,10,ABCDEFAGHI
discorporate,12,ABCDEFGEFHIJ
discount,8,ABCDEFGH
discourage,10,ABCDEFGHIJ
discouragement,14,ABCDEFGHIJKJLM
discouraging,12,ABCDEFGHIBJI
discourse,9,ABCDEFGCH
discourteous,12,ABCDEFGHIEFC
discover,8,ABCDEFGH
discovered,10,ABCDEFGHGA
discovers,9,ABCDEFGHC
discovery,9,ABCDEFGHI
discredit,9,ABCDEFABG
discreet,8,ABCDEFFG
discrepancy,11,ABCDEFGHIDJ
discrepant,10,ABCDEFGHIJ
discrete,8,ABCDEFGF
discretionary,13,ABCDEFGBHIJEK
discriminable,13,ABCDEBFBGHIJK
discriminant,12,ABCDEBFBGHGI
discriminate,12,ABCDEBFBGHIJ
discriminating,14,ABCDEBFBGHIBGJ
discriminatory,14,ABCDEBFBGHIJEK
discursive,10,ABCDEFCBGH
discus,6,ABCDEC
discuss,7,ABCDECC
discussant,10,ABCDECCFGH
discussed,9,ABCDECCFA
discussion,10,ABCDECCBFG
disdain,7,ABCADBE
disdainful,10,ABCADBEFGH
disease,7,ABCDECD
disembodied,11,ABCDEFGABDA
disembowel,10,ABCDEFGHDI
disenfranchise,14,ABCDEFGHEIJBCD
disenfranchisement,18,ABCDEFGHEIJBCDKDEL
disengage,9,ABCDEFGFD
disengagement,13,ABCDEFGFDHDEI
disentangle,11,ABCDEFGEHID
disequilibrium,14,ABCDEFBGBHIBFJ
disfavor,8,ABCDEFGH
disfavorer,10,ABCDEFGHIH
disfigure,9,ABCDBEFGH
disgorge,8,ABCDEFDG
disgrace,8,ABCDEFGH
disgraceful,11,ABCDEFGHIJK
disgruntle,10,ABCDEFGHIJ
disgruntled,11,ABCDEFGHIJA
disguise,8,ABCDEBCF
disguised,9,ABCDEBCFA
disgust,7,ABCDECF
disgusted,9,ABCDECFGA
disgustful,10,ABCDECFGEH
disgusting,10,ABCDECFBGD
dish,4,ABCD
disharmony,10,ABCDEFGHIJ
dishearten,10,ABCDEFGHEI
disheartening,13,ABCDEFGHEIBIJ
dishevel,8,ABCDEFEG
disheveled,10,ABCDEFEGEA
dishevelled,11,ABCDEFEGGEA
dishonest,9,ABCDEFGCH
dishonesty,10,ABCDEFGCHI
dishonor,8,ABCDEFEG
dishonored,10,ABCDEFEGHA
dishonorer,10,ABCDEFEGHG
dishwasher,10,ABCDEFCDGH
dishwater,9,ABCDEFGHI
disillusion,11,ABCBDDECBFG
disillusionment,15,ABCBDDECBFGHIGJ
disincentives,13,ABCBDEFDGBHFC
disinclination,14,ABCBDEFBDGHBID
disincorporated,15,ABCBDEFGHFGIJKA
disinherit,10,ABCBDEFGBH
disinheritance,14,ABCBDEFGBHIDJF
disintegrate,12,ABCBDEFGHIEF
disinterest,11,ABCBDEFGFCE
disinterested,13,ABCBDEFGFCEFA
disinterred,11,ABCBDEFGGFA
disjoin,7,ABCDEBF
disjoint,8,ABCDEBFG
disjointed,10,ABCDEBFGHA
disjunct,8,ABCDEFGH
disjunction,11,ABCDEFGHBIF
disjunctive,11,ABCDEFGHBIJ
disk,4,ABCD
diskette,8,ABCDEFFE
dislike,7,ABCDBEF
dislocate,9,ABCDEFGHI
dislodge,8,ABCDEAFG
dislodgement,12,ABCDEAFGHGIJ
disloyal,8,ABCDEFGD
disloyalty,10,ABCDEFGDHF
dismal,6,ABCDEF
dismantle,9,ABCDEFGHI
dismay,6,ABCDEF
dismayed,8,ABCDEFGA
dismaying,9,ABCDEFBGH
dismembered,11,ABCDEDFEGEA
dismemberment,13,ABCDEDFEGDEHI
dismiss,7,ABCDBCC
dismissal,9,ABCDBCCEF
dismount,8,ABCDEFGH
Disney,6,ABCDEF
Disneyland,10,ABCDEFGHDA
disobedience,12,ABCDEFABFGHF
disobedient,11,ABCDEFABFGH
disobey,7,ABCDEFG
disorder,8,ABCDEAFE
disordered,10,ABCDEAFEFA
disorderly,10,ABCDEAFEGH
disorganization,15,ABCDEFGHBIGJBDH
disorganized,12,ABCDEFGHBIJA
disoriented,11,ABCDEBFGHFA
disown,6,ABCDEF
disparage,9,ABCDEFEGH
disparagement,13,ABCDEFEGHIHJK
disparaging,11,ABCDEFEGBHG
disparate,9,ABCDEFEGH
disparity,9,ABCDEFBGH
dispassionate,13,ABCDECCBFGEHI
dispatch,8,ABCDEFGH
dispel,6,ABCDEF
dispelled,9,ABCDEFFEA
dispelling,10,ABCDEFFBGH
dispensary,10,ABCDEFCGHI
dispensate,10,ABCDEFCGHE
dispensation,12,ABCDEFCGHBIF
dispense,8,ABCDEFCE
dispersal,9,ABCDEFCGH
disperse,8,ABCDEFCE
dispersed,9,ABCDEFCEA
dispersement,12,ABCDEFCEGEHI
dispersible,11,ABCDEFCBGHE
dispersive,10,ABCDEFCBGE
displace,8,ABCDEFGH
displacement,12,ABCDEFGHIHJK
display,7,ABCDEFG
displays,8,ABCDEFGC
displease,9,ABCDEFGCF
displeased,10,ABCDEFGCFA
displeasure,11,ABCDEFGCHIF
disposable,10,ABCDECFGHI
disposal,8,ABCDECFG
dispose,7,ABCDECF
disposed,8,ABCDECFA
disposes,8,ABCDECFC
disposition,11,ABCDECBFBEG
dispositional,13,ABCDECBFBEGHI
dispossessed,12,ABCDECCFCCFA
dispossession,13,ABCDECCFCCBEG
disproportion,13,ABCDEFDFEGBFH
disproportional,15,ABCDEFDFEGBFHIJ
disproportionate,16,ABCDEFDFEGBFHIGJ
disprove,8,ABCDEFGH
disputable,10,ABCDEFGHIJ
disputant,9,ABCDEFGHF
dispute,7,ABCDEFG
disputed,8,ABCDEFGA
disqualify,10,ABCDEFGBHI
disquiet,8,ABCDEBFG
disquieting,11,ABCDEBFGBHI
disquietude,11,ABCDEBFGEAF
disquisition,12,ABCDEBCBFBGH
Disraeli,8,ABCDEFGB
disregard,9,ABCDEFGDA
disrepair,9,ABCDEFGBD
disreputable,12,ABCDEFGHIJKE
disrepute,9,ABCDEFGHE
disrespect,10,ABCDECFEGH
disrobe,7,ABCDEFG
disrupt,7,ABCDEFG
disrupted,9,ABCDEFGHA
disruption,10,ABCDEFGBHI
disruptive,10,ABCDEFGBHI
dissatisfaction,15,ABCCDEBCFDGEBHI
dissatisfied,12,ABCCDEBCFBGA
dissect,7,ABCCDEF
dissection,10,ABCCDEFBGH
dissemble,9,ABCCDEFGD
disseminate,11,ABCCDEBFGHD
dissension,10,ABCCDECBFE
dissent,7,ABCCDEF
dissertation,12,ABCCDEFGFBHI
disservice,10,ABCCDEFBGD
dissident,9,ABCCBADEF
dissimilar,10,ABCCBDBEFG
dissimilarity,13,ABCCBDBEFGBHI
dissimulation,13,ABCCBDEFGHBIJ
dissipate,9,ABCCBDEFG
dissipated,10,ABCCBDEFGA
dissociable,11,ABCCDEBFGHI
dissociate,10,ABCCDEBFGH
dissociated,11,ABCCDEBFGHA
dissolution,11,ABCCDEFGBDH
dissolve,8,ABCCDEFG
dissonance,10,ABCCDEFEGH
dissonant,9,ABCCDEFEG
dissuade,8,ABCCDEAF
distaff,7,ABCDEFF
distal,6,ABCDEF
distance,8,ABCDEFGH
distant,7,ABCDEFD
distaste,8,ABCDECDF
distasteful,11,ABCDECDFGHI
distemper,9,ABCDEFGEH
distend,7,ABCDEFA
distension,10,ABCDEFCBGF
distill,7,ABCDBEE
distillate,10,ABCDBEEFDG
distillation,12,ABCDBEEFDBGH
distillery,10,ABCDBEEFGH
distinct,8,ABCDBEFD
distinction,11,ABCDBEFDBGE
distinctive,11,ABCDBEFDBGH
distinguish,11,ABCDBEFGBCH
distinguishable,15,ABCDBEFGBCHIJKL
distinguished,13,ABCDBEFGBCHIA
distort,7,ABCDEFD
distortable,11,ABCDEFDGHIJ
distorted,9,ABCDEFDGA
distortion,10,ABCDEFDBEG
distract,8,ABCDEFGD
distracted,10,ABCDEFGDHA
distracting,11,ABCDEFGDBHI
distraction,11,ABCDEFGDBHI
distraught,10,ABCDEFGHID
distress,8,ABCDEFCC
distressing,11,ABCDEFCCBGH
distribute,10,ABCDEBFGDH
distributed,11,ABCDEBFGDHA
distributes,11,ABCDEBFGDHC
distribution,12,ABCDEBFGDBHI
distributional,14,ABCDEBFGDBHIJK
distributive,12,ABCDEBFGDBHI
distributivity,14,ABCDEBFGDBHBDI
distributor,11,ABCDEBFGDHE
distributorship,15,ABCDEBFGDHECIBJ
district,8,ABCDEBFD
distrust,8,ABCDEFCD
disturb,7,ABCDEFG
disturbance,11,ABCDEFGHIJK
disturbed,9,ABCDEFGHA
disturbing,10,ABCDEFGBHI
disulfide,9,ABCDEFBAG
disunion,8,ABCDEBFE
disunited,9,ABCDEBFGA
disunity,8,ABCDEBFG
disuse,6,ABCDCE
disvalues,9,ABCDEFGHC
disyllable,10,ABCDEEFGEH
ditch,5,ABCDE
dither,6,ABCDEF
ditto,5,ABCCD
ditty,5,ABCCD
diurnal,7,ABCDEFG
diva,4,ABCD
divalent,8,ABCDEFGH
divan,5,ABCDE
dive,4,ABCD
diverge,7,ABCDEFD
divergence,10,ABCDEFDGHD
divergent,9,ABCDEFDGH
diverse,7,ABCDEFD
diversify,9,ABCDEFBGH
diversionary,12,ABCDEFBGHIEJ
diversity,9,ABCDEFBGH
divert,6,ABCDEF
divertimento,12,ABCDEFBGDHFI
divest,6,ABCDEF
divestiture,11,ABCDEFBFGHD
divide,6,ABCBAD
divided,7,ABCBADA
dividend,8,ABCBADEA
divination,10,ABCBDEFBGD
divine,6,ABCBDE
divinity,8,ABCBDBEF
divisible,9,ABCBDBEFG
division,8,ABCBDBEF
divisional,10,ABCBDBEFGH
divisive,8,ABCBDBCE
divisor,7,ABCBDEF
divorce,7,ABCDEFG
divorcee,8,ABCDEFGG
divulge,7,ABCDEFG
Dixie,5,ABCBD
Dixiecrats,10,ABCBDEFGHI
Dixieland,9,ABCBDEFGA
dizzily,7,ABCCBDE
dizzy,5,ABCCD
dizzying,8,ABCCDBEF
Djakarta,8,ABCDCEFC
Dmitri,6,ABCDEC
DNA,3,ABC
do,2,AB
doable,6,ABCDEF
Doberman,8,ABCDEFGH
Doc,3,ABC
docile,6,ABCDEF
dock,4,ABCD
docket,6,ABCDEF
dockside,8,ABCDEFAG
dockyard,8,ABCDEFGA
doctor,6,ABCDBE
doctoral,8,ABCDBEFG
doctorate,9,ABCDBEFDG
doctrinaire,11,ABCDEFGHFEI
doctrinal,9,ABCDEFGHI
doctrine,8,ABCDEFGH
document,8,ABCDEFGH
documentary,11,ABCDEFGHIJK
documentation,13,ABCDEFGHIHJBG
documented,10,ABCDEFGHFA
dodecahedra,11,ABACDEFCAGE
dodecahedral,12,ABACDEFCAGEH
dodecahedron,12,ABACDEFCAGBH
dodge,5,ABACD
Dodington,9,ABACDEFBD
doe,3,ABC
does,4,ABCD
doesn't,7,ABCDEFG
doff,4,ABCC
dog,3,ABC
dogged,6,ABCCDA
dogging,7,ABCCDEC
doggone,7,ABCCBDE
doghouse,8,ABCDBEFG
dogleg,6,ABCDEC
dogma,5,ABCDE
dogmatic,8,ABCDEFGH
dogmatically,12,ABCDEFGHEIIJ
dogmatism,9,ABCDEFGHD
dogtooth,8,ABCDBBDE
Dogtown,7,ABCDBEF
dogtrot,7,ABCDEBD
dogwood,7,ABCDBBA
doldrum,7,ABCADEF
dole,4,ABCD
doleful,7,ABCDEFC
doll,4,ABCC
dollar,6,ABCCDE
dolly,5,ABCCD
dolomite,8,ABCBDEFG
dolomitic,9,ABCBDEFEG
Dolores,7,ABCBDEF
dolphin,7,ABCDEFG
dolt,4,ABCD
doltish,7,ABCDEFG
domain,6,ABCDEF
dome,4,ABCD
Domesday,8,ABCDEAFG
domestic,8,ABCDEFGH
domestically,12,ABCDEFGHIJJK
domesticate,11,ABCDEFGHIFD
domesticity,11,ABCDEFGHGFI
domicile,8,ABCDEDFG
dominance,9,ABCDEFEGH
dominant,8,ABCDEFEG
dominate,8,ABCDEFGH
dominator,9,ABCDEFGBH
domineer,8,ABCDEFFG
domineering,11,ABCDEFFGDEH
Domingo,7,ABCDEFB
Dominic,7,ABCDEDF
Dominican,9,ABCDEDFGE
dominion,8,ABCDEDBE
domino,6,ABCDEB
don,3,ABC
don't,5,ABCDE
Donahue,7,ABCDEFG
Donald,6,ABCDEA
Donaldson,9,ABCDEAFBC
donate,6,ABCDEF
done,4,ABCD
donkey,6,ABCDEF
Donna,5,ABCCD
donned,6,ABCCDA
Donnelly,8,ABCCDEEF
donning,7,ABCCDCE
